f1_qrtr_med,f1_midpt_med,f1_thrqrtr_med,f2_qrtr_med,f2_midpt_med,f2_thrqrtr_med,f3_qrtr_med,f3_midpt_med,f3_thrqrtr_med,spkr,age_yrs,Phone,Word,trackable,task,t1,t2_ph,next_ph,prev_ph,qrtr_sec,midpt_sec,thrqrtr_sec,qrtr_sec_ifc,midpt_sec_ifc,thrqrtr_sec_ifc,qrtr_sec_ac,midpt_sec_ac,thrqrtr_sec_ac,f4_qrtr_med,f4_midpt_med,f4_thrqrtr_med,year,MAD_F1,MAD_F2,MAD_F3,MAD_F4,F1_upper,F1_lower,F2_upper,F2_lower,F3_upper,F3_lower,F4_upper,F4_lower,f1_midpt_med_clean,f2_midpt_med_clean,f3_midpt_med_clean,f4_midpt_med_clean,deltaf,vtl,phar_length,a_ratiof1f2,a_ratiof2f3,i_ratiof1f2,i_ratiof2f3,u_ratiof2f3,u_ratiof1f3
400.2466439,358.0177332,274.6464234,2915.55945,2998.852863,2840.115844,3612.446873,3590.595428,3439.582717,1,10,i,t'ika,USE,quechua,244.9945,245.0945,k,t',245.0225,245.0425,245.0725,245.015,245.045,245.065,245.02449,245.04449,245.07449,,,,2018,69.96656809,417.7854893,189.2869928,,566.0022456,146.2028371,3981.863583,1475.150646,4054.463165,2918.741209,,,358.0177332,2998.852863,3590.595428,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
404.7869542,394.7403287,377.0235852,2607.636888,2863.642592,2931.353611,3383.071713,3441.4699,3582.517084,1,10,i,api-pi,USE,quechua,342.1447154,342.3448,p,p,342.1925,342.2425,342.2925,342.195,342.245,342.295,342.19449,342.24449,342.29449,,,,2018,69.96656809,417.7854893,189.2869928,,566.0022456,146.2028371,3981.863583,1475.150646,4054.463165,2918.741209,,,394.7403287,2863.642592,3441.4699,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
435.7594844,414.0303128,388.7223735,1114.571637,1188.586408,1220.95726,3162.8,3179.573934,3187.338683,1,10,u,punchu,USE,quechua,210.5116018,210.6064,n,p,210.5325,210.5625,210.5825,210.535,210.555,210.585,210.53449,210.55449,210.58449,,,,2018,31.00707979,60.98181098,237.718422,,391.5564554,205.5139766,1412.663509,1046.772643,4571.888168,3145.577636,,,,1188.586408,3179.573934,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
547.8815277,592.1760277,552.9581338,1313.47164,1296.9,1312.172107,3202.7,3806.82078,3202.4,1,10,a,papa,USE,quechua,309.2778,309.3578,p,p,309.3025,309.3225,309.3425,309.295,309.315,309.335,309.29449,309.31449,309.33449,,,,2018,37.50702251,71.97621808,235.5099789,,717.7408142,492.6986791,1559.473365,1127.616056,4624.261705,3211.201832,,,592.1760277,1296.9,3806.82078,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
603.2522461,618.2634656,628.4269139,1249.802822,1293.094833,1472.013416,4067.677436,2986.7,4078.413861,1,10,a,papa,USE,quechua,306.9585,307.0585,p,p,306.9825,307.0125,307.0325,306.985,307.005,307.035,306.98449,307.00449,307.03449,,,,2018,37.50702251,71.97621808,235.5099789,,717.7408142,492.6986791,1559.473365,1127.616056,4624.261705,3211.201832,,,618.2634656,1293.094833,,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
631.8966777,642.7723079,634.5696741,1354.470677,1390.189421,1430.817675,4026.033439,4124.519389,3230.265896,1,10,a,papa,USE,quechua,102.2353,102.3253,p,p,102.2625,102.2825,102.3025,102.255,102.285,102.305,102.25449,102.28449,102.30449,,,,2018,37.50702251,71.97621808,235.5099789,,717.7408142,492.6986791,1559.473365,1127.616056,4624.261705,3211.201832,,,642.7723079,1390.189421,4124.519389,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
680.4,269.6424269,250.7490778,1548.1,1572.3,1782.4,3319.957941,4028.642757,3323.769154,1,10,a,papa,USE,quechua,104.505,104.585,p,p,104.5225,104.5425,104.5625,104.525,104.545,104.565,104.52449,104.54449,104.56449,,,,2018,37.50702251,71.97621808,235.5099789,,717.7408142,492.6986791,1559.473365,1127.616056,4624.261705,3211.201832,,,,,4028.642757,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
275.9450429,267.7803792,277.7930024,1148.01771,1174.448139,1213.43712,2745.2,2468.650122,2542.652681,2,9,u,punku,USE,quechua,380.2675,380.3475,n,p,380.2925,380.3025,380.3225,380.285,380.305,380.325,380.28449,380.30449,380.32449,,,,2018,38.19655212,83.9981048,351.1987647,,469.6313609,240.4520481,1460.55051,956.5618811,3643.330052,1536.137464,,,267.7803792,1174.448139,2468.650122,,1052.779805,16.14772617,11.11110627,0.346101134,0.401614082,0.166773858,0.732404128,0.428501859,0.123366328
283.2529058,340.9640097,308.1300035,1413.762946,1054.929941,1089.826118,3550.076994,2237.056751,4278.414664,2,9,u,runtu,USE,quechua,468.0497,468.1897,n,r,468.0825,468.1225,468.1525,468.085,468.115,468.155,468.08449,468.12449,468.15449,,,,2018,38.19655212,83.9981048,351.1987647,,469.6313609,240.4520481,1460.55051,956.5618811,3643.330052,1536.137464,,,340.9640097,1054.929941,2237.056751,,1052.779805,16.14772617,11.11110627,0.346101134,0.401614082,0.166773858,0.732404128,0.428501859,0.123366328
286.044423,369.1193993,400.04274,1179.581438,1242.664252,1243.939522,2622.5,3691.484397,3717.43419,2,9,u,runtu,USE,quechua,466.0542,466.1642,n,r,466.0825,466.1125,466.1325,466.085,466.105,466.135,466.08449,466.10449,466.13449,,,,2018,38.19655212,83.9981048,351.1987647,,469.6313609,240.4520481,1460.55051,956.5618811,3643.330052,1536.137464,,,369.1193993,1242.664252,,,1052.779805,16.14772617,11.11110627,0.346101134,0.401614082,0.166773858,0.732404128,0.428501859,0.123366328
298.9154776,316.7530325,294.3176845,1905.319245,1734,1656.821349,2917.6,2721.222202,2572.831889,2,9,i,q'epi-pi,USE,quechua,516.7453425,516.8311,p,p,516.7625,516.7925,516.8125,516.765,516.785,516.805,516.76449,516.78449,516.81449,,,,2018,72.48474114,764.9768225,365.2846263,,569.5287988,134.620352,4756.306308,166.4453725,4084.700835,1892.993077,,,316.7530325,1734,2721.222202,,1052.779805,16.14772617,11.11110627,0.346101134,0.401614082,0.166773858,0.732404128,0.428501859,0.123366328
338.9597582,352.0745754,364.8761969,2510.457685,2555.536019,2397.481033,2907.12795,2988.846956,4106.482127,2,9,i,q'epi-pi,USE,quechua,519.4544284,519.523,p,p,519.4725,519.4925,519.5025,519.475,519.485,519.505,519.47449,519.48449,519.50449,,,,2018,72.48474114,764.9768225,365.2846263,,569.5287988,134.620352,4756.306308,166.4453725,4084.700835,1892.993077,,,352.0745754,2555.536019,2988.846956,,1052.779805,16.14772617,11.11110627,0.346101134,0.401614082,0.166773858,0.732404128,0.428501859,0.123366328
342.4282712,348.7860648,328.1000457,2584.912856,2573.603954,2413.400338,2907.640669,2948.867562,2954.5,2,9,i,api-pi,USE,quechua,362.0549134,362.1166,p,p,362.0725,362.0825,362.1025,362.075,362.085,362.105,362.07449,362.08449,362.10449,,,,2018,72.48474114,764.9768225,365.2846263,,569.5287988,134.620352,4756.306308,166.4453725,4084.700835,1892.993077,,,348.7860648,2573.603954,2948.867562,,1052.779805,16.14772617,11.11110627,0.346101134,0.401614082,0.166773858,0.732404128,0.428501859,0.123366328
350.4548917,392.4904526,283.7022545,2028.878766,1287.76003,1341.164856,3675.191728,2710.817394,3645.432713,2,9,u,punchu,USE,quechua,392.2265,392.3065,n,p,392.2425,392.2625,392.2825,392.245,392.265,392.285,392.24449,392.26449,392.28449,,,,2018,38.19655212,83.9981048,351.1987647,,469.6313609,240.4520481,1460.55051,956.5618811,3643.330052,1536.137464,,,392.4904526,1287.76003,2710.817394,,1052.779805,16.14772617,11.11110627,0.346101134,0.401614082,0.166773858,0.732404128,0.428501859,0.123366328
384.8148896,400.9648635,322.7884875,2076.40172,1738.551191,2033.176576,3404.667253,2742.465851,4269.290638,2,9,i,api-pi,USE,quechua,364.1181007,364.1913073,p,p,364.1325,364.1525,364.1725,364.135,364.155,364.175,364.13449,364.15449,364.17449,,,,2018,72.48474114,764.9768225,365.2846263,,569.5287988,134.620352,4756.306308,166.4453725,4084.700835,1892.993077,,,400.9648635,1738.551191,2742.465851,,1052.779805,16.14772617,11.11110627,0.346101134,0.401614082,0.166773858,0.732404128,0.428501859,0.123366328
393.1926827,393.2939707,374.3755875,1214.583954,1208.842422,1075.96139,4165.134677,3128.699651,2572.633676,2,9,a,papa,USE,quechua,489.3826936,489.4338,p,p,489.3925,489.4125,489.4225,489.395,489.405,489.425,489.39449,489.40449,489.42449,,,,2018,55.24996818,52.16640629,46.15116673,,596.3094682,264.8096592,1400.5274,1087.528962,3236.024616,2959.117615,,,393.2939707,1208.842422,3128.699651,,1052.779805,16.14772617,11.11110627,0.346101134,0.401614082,0.166773858,0.732404128,0.428501859,0.123366328
411.1628847,414.5415464,376.3366117,2474.693978,2461.37584,2415.503628,4107.791315,4078.708506,3977.843988,2,9,i,api-pi,USE,quechua,527.5053103,527.5628,p,p,527.5225,527.5325,527.5525,527.515,527.535,527.545,527.52449,527.53449,527.54449,,,,2018,72.48474114,764.9768225,365.2846263,,569.5287988,134.620352,4756.306308,166.4453725,4084.700835,1892.993077,,,414.5415464,2461.37584,4078.708506,,1052.779805,16.14772617,11.11110627,0.346101134,0.401614082,0.166773858,0.732404128,0.428501859,0.123366328
426.8091237,248.0031187,250.8681119,2990.855692,3056.533947,2994.459568,3613.352021,3350.272791,3175.1,2,9,i,t'ika,USE,quechua,232.0768,232.1468,k,t',232.0925,232.1125,232.1325,232.095,232.115,232.125,232.09449,232.11449,232.12449,,,,2018,72.48474114,764.9768225,365.2846263,,569.5287988,134.620352,4756.306308,166.4453725,4084.700835,1892.993077,,,248.0031187,3056.533947,3350.272791,,1052.779805,16.14772617,11.11110627,0.346101134,0.401614082,0.166773858,0.732404128,0.428501859,0.123366328
455.4337212,467.8251567,409.3348008,1300.039463,1279.21394,1142.360512,3096.307853,3066.44258,4148.103673,2,9,a,papa,USE,quechua,487.1598,487.2279045,p,p,487.1725,487.1925,487.2125,487.175,487.195,487.215,487.17449,487.19449,487.21449,,,,2018,55.24996818,52.16640629,46.15116673,,596.3094682,264.8096592,1400.5274,1087.528962,3236.024616,2959.117615,,,467.8251567,1279.21394,3066.44258,,1052.779805,16.14772617,11.11110627,0.346101134,0.401614082,0.166773858,0.732404128,0.428501859,0.123366328
648.0728545,598.1,613.7924534,2021.150282,1945.406042,1916.04862,3220.969368,3104.237158,3157.1,2,9,i,t'ika,USE,quechua,425.0161,425.0783631,k,t',425.0325,425.0425,425.0625,425.035,425.045,425.065,425.03449,425.04449,425.06449,,,,2018,72.48474114,764.9768225,365.2846263,,569.5287988,134.620352,4756.306308,166.4453725,4084.700835,1892.993077,,,,1945.406042,3104.237158,,1052.779805,16.14772617,11.11110627,0.346101134,0.401614082,0.166773858,0.732404128,0.428501859,0.123366328
318.0978358,317.0337838,312.9129154,2607.743072,2742.853481,2612.279575,3361.499079,3375.121158,3328.360279,3,7,i,api-pi,USE,quechua,321.86949,321.9351,p,p,321.8825,321.9025,321.9225,321.885,321.905,321.915,321.88449,321.90449,321.91449,,,,2018,63.16871344,86.18434157,31.66003641,,570.5207431,191.5084625,3059.537048,2542.430998,3470.101267,3280.141049,,,317.0337838,2742.853481,3375.121158,,1261.910718,13.47163453,9.166394689,0.538694096,0.501642621,0.138162282,0.828221793,0.36702793,0.136982784
340.2912593,338.4078893,330.5933506,2575.374231,2813.853841,2729.713244,3259.598719,3396.47556,3363.276402,3,7,i,api-pi,USE,quechua,185.8545071,185.9461,p,p,185.8725,185.9025,185.9225,185.875,185.905,185.925,185.87449,185.90449,185.92449,,,,2018,63.16871344,86.18434157,31.66003641,,570.5207431,191.5084625,3059.537048,2542.430998,3470.101267,3280.141049,,,338.4078893,2813.853841,3396.47556,,1261.910718,13.47163453,9.166394689,0.538694096,0.501642621,0.138162282,0.828221793,0.36702793,0.136982784
388.5626378,405.1688216,388.500692,2618.857343,2800.984023,2741.41921,3304.287449,3422.295983,3395.064349,3,7,i,api-pi,USE,quechua,186.3293272,186.4346,p,p,186.3525,186.3825,186.4125,186.355,186.385,186.405,186.35449,186.38449,186.40449,,,,2018,63.16871344,86.18434157,31.66003641,,570.5207431,191.5084625,3059.537048,2542.430998,3470.101267,3280.141049,,,405.1688216,2800.984023,3422.295983,,1261.910718,13.47163453,9.166394689,0.538694096,0.501642621,0.138162282,0.828221793,0.36702793,0.136982784
389.8946492,381.0146028,334.491891,3052.627609,2943.96133,2862.078346,3695.506999,3374.4938,3330.292572,3,7,i,api-pi,USE,quechua,182.9927215,183.0706,p,p,183.0125,183.0325,183.0525,183.015,183.035,183.055,183.01449,183.03449,183.05449,,,,2018,63.16871344,86.18434157,31.66003641,,570.5207431,191.5084625,3059.537048,2542.430998,3470.101267,3280.141049,,,381.0146028,2943.96133,3374.4938,,1261.910718,13.47163453,9.166394689,0.538694096,0.501642621,0.138162282,0.828221793,0.36702793,0.136982784
432.103796,420.7042322,392.2509319,977.7537785,891.7223161,2655.79989,2743.153178,3268.2,3368.899816,3,7,u,punku,USE,quechua,198.4436097,198.4967597,n,p,198.4525,198.4725,198.4825,198.455,198.475,198.485,198.45449,198.47449,198.48449,,,,2018,59.52527212,662.8827262,251.4937805,,666.2094331,309.0578003,3520.525719,-456.7706387,4354.507205,2845.544522,,,420.7042322,891.7223161,3268.2,,1261.910718,13.47163453,9.166394689,0.538694096,0.501642621,0.138162282,0.828221793,0.36702793,0.136982784
